;Proteinas;Calorias;Grasas;Marcas
112;22.62;123.28;3.82;Marca 3
113;22.63;123.35;2.85;Marca 3
114;22.65;123.64;3.40;Marca 3
115;22.67;123.89;2.69;Marca 3
116;22.68;124.05;3.45;Marca 3
117;22.69;125.36;3.08;Marca 3
118;22.70;125.79;3.60;Marca 3
119;22.73;126.02;2.63;Marca 3
120;22.82;126.35;3.20;Marca 3
121;22.88;126.54;3.84;Marca 4
122;22.90;126.73;2.78;Marca 4
123;22.90;127.13;2.83;Marca 4
124;22.92;127.63;3.21;Marca 4
125;22.95;128.01;3.73;Marca 4
126;22.98;128.15;3.48;Marca 4
127;22.99;128.31;3.52;Marca 4
128;23.02;128.41;3.25;Marca 4
129;23.13;128.48;3.13;Marca 4
130;23.14;128.88;3.55;Marca 4
131;23.15;129.50;2.86;Marca 4
132;23.21;129.77;2.93;Marca 4
133;23.23;129.81;2.75;Marca 4
134;23.24;129.88;3.47;Marca 4
135;23.31;130.05;2.94;Marca 4
136;23.37;130.12;3.16;Marca 4
137;23.38;130.43;3.17;Marca 4
138;23.44;130.76;2.87;Marca 4
139;23.45;131.18;3.15;Marca 4
140;23.52;131.39;2.65;Marca 4
141;23.58;131.49;3.53;Marca 4
142;23.58;131.64;2.88;Marca 4
143;23.67;131.74;3.18;Marca 4
144;23.75;131.80;2.63;Marca 4
145;23.77;132.35;3.10;Marca 4
146;23.77;132.38;3.69;Marca 4
147;23.78;132.39;3.12;Marca 4
148;23.83;132.96;2.79;Marca 4
149;23.92;133.08;3.18;Marca 4
150;23.95;133.21;3.36;Marca 4
151;24.00;133.42;3.80;Marca 4
152;24.01;133.79;3.39;Marca 4
153;24.20;134.56;2.77;Marca 4
154;24.21;134.65;3.33;Marca 4
155;24.22;134.90;2.73;Marca 4
156;24.30;134.97;2.67;Marca 4
157;24.39;135.10;3.18;Marca 4
158;24.46;135.27;3.52;Marca 4
159;24.46;135.46;3.28;Marca 4
160;24.48;135.72;2.71;Marca 4
161;24.48;136.15;3.49;Marca 5
162;24.48;136.17;2.77;Marca 5
163;24.51;136.23;2.80;Marca 5
164;24.52;136.35;3.33;Marca 5
165;24.52;136.37;2.64;Marca 5
166;24.56;136.38;3.82;Marca 5
167;24.57;136.90;3.22;Marca 5
168;24.72;137.48;3.07;Marca 5
169;24.81;137.62;2.62;Marca 5
170;24.82;137.74;2.63;Marca 5
171;24.84;138.07;2.68;Marca 5
172;24.92;138.37;2.86;Marca 5
173;24.95;138.79;3.61;Marca 5
174;24.99;138.94;2.65;Marca 5
175;25.03;139.07;2.70;Marca 5
176;25.10;139.30;3.72;Marca 5
177;25.11;139.46;3.53;Marca 5
178;25.16;139.87;2.70;Marca 5
179;25.22;140.05;3.74;Marca 5
180;25.27;140.17;3.67;Marca 5
181;25.29;140.74;3.66;Marca 5
182;25.34;140.81;3.24;Marca 5
183;25.39;141.01;3.13;Marca 5
184;25.41;141.43;3.38;Marca 5
185;25.42;142.09;2.84;Marca 5
186;25.43;142.26;3.74;Marca 5
187;25.50;142.36;3.09;Marca 5
188;25.53;142.47;3.74;Marca 5
189;25.54;142.78;3.86;Marca 5
190;25.57;143.21;2.75;Marca 5
191;25.66;143.23;2.60;Marca 5
192;25.67;143.50;3.36;Marca 5
193;25.68;143.53;3.81;Marca 5
194;25.68;143.74;3.73;Marca 5
195;25.74;143.76;2.65;Marca 5
196;25.79;144.09;3.50;Marca 5
197;25.88;144.11;2.90;Marca 5
198;25.88;144.33;2.69;Marca 5
199;25.88;144.62;3.03;Marca 5
200;25.98;144.66;2.77;Marca 5
