ID	LongitudSepalo	AnchoSepalo	LongitudPetalo	AnchoPetalo	Especie	Sitio
118	7.7	3.8	6.7	2.2	virginica	Garabito
119	7.7	2.6	6.9	2.3	virginica	Garabito
120	6	2.2	5	1.5	virginica	Garabito
121	6.9	3.2	5.7	2.3	virginica	Garabito
122	5.6	2.8	4.9	2	virginica	Garabito
123	7.7	2.8	6.7	2	virginica	Garabito
124	6.3	2.7	4.9	1.8	virginica	Garabito
125	6.7	3.3	5.7	2.1	virginica	Garabito
126	7.2	3.2	6	1.8	virginica	Garabito
127	6.2	2.8	4.8	1.8	virginica	Garabito
128	6.1	3	4.9	1.8	virginica	Garabito
129	6.4	2.8	5.6	2.1	virginica	Garabito
130	7.2	3	5.8	1.6	virginica	Garabito
131	7.4	2.8	6.1	1.9	virginica	Garabito
132	7.9	3.8	6.4	2	virginica	Garabito
133	6.4	2.8	5.6	2.2	virginica	Garabito
134	6.3	2.8	5.1	1.5	virginica	Garabito
135	6.1	2.6	5.6	1.4	virginica	Chacarita
136	7.7	3	6.1	2.3	virginica	Chacarita
137	6.3	3.4	5.6	2.4	virginica	Chacarita
138	6.4	3.1	5.5	1.8	virginica	Chacarita
139	6	3	4.8	1.8	virginica	Chacarita
140	6.9	3.1	5.4	2.1	virginica	Chacarita
141	6.7	3.1	5.6	2.4	virginica	Chacarita
142	6.9	3.1	5.1	2.3	virginica	Chacarita
143	5.8	2.7	5.1	1.9	virginica	Chacarita
144	6.8	3.2	5.9	2.3	virginica	Chacarita
145	6.7	3.3	5.7	2.5	virginica	Chacarita
146	6.7	3	5.2	2.3	virginica	Chacarita
147	6.3	2.5	5	1.9	virginica	Chacarita
148	6.5	3	5.2	2	virginica	Chacarita
149	6.2	3.4	5.4	2.3	virginica	Chacarita
150	5.9	3	5.1	1.8	virginica	Chacarita
